idx,Month,DayofMonth,DayOfWeek,UniqueCarrier,Origin,Dest,Distance,Hour,Minute,IsWeekend
8830,4,11,1,DL,SDF,CVG,83.0,17,25,0
8831,9,26,2,XE,EWR,ROC,246.0,16,51,0
8832,9,23,5,DL,BOS,SLC,2105.0,16,20,0
8833,7,29,5,B6,LGB,LAS,231.0,17,48,0
8834,12,6,3,UA,IAD,SEA,2306.0,12,12,0
8835,10,3,2,OO,ACV,CEC,56.0,9,0,0
8836,7,6,4,MQ,ORD,PNS,794.0,9,40,0
8837,6,23,4,WN,LAS,MDW,1521.0,6,30,0
8838,6,26,1,DL,SLC,ATL,1589.0,7,0,0
8839,3,23,4,OH,CLT,CVG,335.0,13,40,0
8840,12,9,6,XE,CLE,RDU,416.0,12,29,1
8841,4,30,7,AA,DFW,RNO,1345.0,10,10,1
8842,4,16,6,WN,MCI,BNA,491.0,16,42,1
8843,12,26,2,EV,RIC,ATL,481.0,12,1,0
8844,8,5,5,UA,ORD,OAK,1835.0,10,6,0
8845,2,25,6,MQ,ORD,RDU,647.0,10,6,1
8846,8,9,2,US,PBI,PIT,952.0,12,25,0
8847,9,23,6,WN,HOU,LAS,1235.0,11,22,1
8848,9,21,3,UA,ORD,SNA,1726.0,14,54,0
8849,5,18,4,MQ,ORD,HPN,738.0,13,55,0
8850,4,15,5,OO,MRY,SFO,77.0,12,43,0
8851,9,18,1,CO,IND,EWR,644.0,17,17,0
8852,1,3,2,CO,IAH,LAX,1379.0,21,39,0
8853,7,24,1,WN,DAL,LBB,293.0,13,39,0
8854,10,21,5,DL,JFK,SFO,2586.0,8,26,0
8855,8,13,7,AA,SJU,JFK,1597.0,7,21,1
8856,5,30,1,NW,DTW,MCI,629.0,8,47,0
8857,10,17,1,XE,CLT,CLE,430.0,6,43,0
8858,12,20,3,YV,PHX,PSP,261.0,17,30,0
8859,12,22,5,XE,IAH,PNS,489.0,14,18,0
8860,1,8,7,MQ,DFW,PIA,673.0,11,38,1
8861,12,4,1,AA,MSY,DFW,448.0,16,9,0
8862,1,20,4,WN,SMF,PDX,479.0,16,2,0
8863,10,15,7,NW,LAS,MSP,1300.0,9,22,1
8864,9,21,3,CO,EWR,TPA,998.0,18,24,0
8865,4,14,4,AA,MCO,MIA,193.0,9,38,0
8866,1,5,3,WN,PHX,BWI,1999.0,17,3,0
8867,10,16,1,AA,DEN,ORD,888.0,13,11,0
8868,10,16,7,HP,IAH,PHX,1009.0,14,40,1
8869,2,28,1,EV,ATL,HSV,151.0,10,2,0
8870,4,21,5,MQ,MIA,CLT,650.0,15,11,0
8871,6,10,5,WN,DAL,HOU,239.0,16,30,0
8872,7,18,1,CO,IAH,PDX,1825.0,9,7,0
8873,3,20,7,NW,MEM,SAT,625.0,13,44,1
8874,12,27,2,MQ,DFW,HOU,247.0,7,21,0
8875,8,26,5,AA,ORD,DFW,802.0,20,59,0
8876,4,15,6,OH,CVG,TYS,226.0,18,47,1
8877,6,9,5,WN,DAL,LIT,296.0,16,10,0
8878,9,12,1,OH,CVG,MSP,596.0,9,45,0
8879,11,21,1,DL,ATL,PBI,545.0,14,20,0
8880,10,20,5,DL,PBI,ATL,545.0,7,12,0
8881,3,2,3,EV,ATL,AVP,714.0,18,17,0
8882,12,5,2,OO,SLC,BLI,757.0,21,16,0
8883,3,1,2,AA,DFW,STL,551.0,8,36,0
8884,8,15,2,WN,STL,PHX,1262.0,9,9,0
8885,10,9,1,UA,ORD,SMF,1781.0,10,10,0
8886,8,27,7,DL,ATL,LGA,761.0,20,49,1
8887,5,17,2,WN,MDW,PHX,1444.0,10,40,0
8888,12,5,2,AA,MCI,DFW,460.0,16,16,0
8889,4,11,1,OO,SLC,RNO,422.0,22,37,0
8890,11,3,4,MQ,XNA,ORD,522.0,8,35,0
8891,7,14,5,F9,DEN,SAT,794.0,15,50,0
8892,2,20,1,AA,MIA,SJU,1045.0,13,37,0
8893,4,19,3,MQ,BDL,RDU,532.0,6,23,0
8894,2,18,5,DL,ATL,MCI,692.0,8,49,0
8895,7,24,1,OO,SPI,ORD,174.0,13,7,0
8896,12,23,5,OO,DEN,TUL,541.0,10,53,0
8897,3,4,5,B6,SEA,JFK,2421.0,23,59,0
8898,8,25,4,UA,DEN,GEG,836.0,17,22,0
8899,1,22,6,CO,MSY,IAH,305.0,8,17,1
8900,11,10,4,HA,HNL,OGG,100.0,14,31,0
8901,1,15,7,MQ,SJC,SNA,342.0,19,12,1
8902,2,23,4,OH,MDW,ATL,590.0,19,0,0
8903,1,30,7,HP,DFW,PHX,868.0,19,46,1
8904,11,7,1,MQ,ORD,MKE,67.0,17,21,0
8905,7,17,7,AA,COS,DFW,592.0,13,29,1
8906,10,29,6,WN,PVD,MCO,1073.0,16,55,1
8907,3,29,2,WN,SMF,PDX,479.0,7,0,0
8908,1,12,3,WN,PHX,BNA,1448.0,10,25,0
8909,12,24,7,UA,DEN,SJC,948.0,8,55,1
8910,10,25,3,OO,SBP,LAX,155.0,16,53,0
8911,9,10,6,DL,MEM,ATL,332.0,19,25,1
8912,6,15,4,AA,LAS,DFW,1055.0,16,12,0
8913,11,6,7,WN,BNA,OAK,1959.0,10,50,1
8914,1,17,1,CO,RSW,EWR,1068.0,16,27,0
8915,10,13,4,HA,HNL,ITO,216.0,11,2,0
8916,1,26,4,OO,COS,DEN,72.0,18,28,0
8917,7,8,6,XE,MEM,IAH,469.0,8,57,1
8918,11,12,7,XE,IAH,GRK,166.0,9,37,1
8919,4,10,1,WN,STL,MCI,237.0,18,47,0
8920,12,22,5,WN,SAT,DAL,248.0,12,9,0
8921,9,2,5,OH,CVG,RDU,390.0,7,45,0
8922,12,6,3,AA,DAL,MCI,461.0,17,32,0
8923,9,20,2,NW,BIS,MSP,386.0,11,10,0
8924,7,4,1,CO,DEN,EWR,1605.0,17,42,0
8925,8,3,3,WN,DAL,AMA,324.0,20,5,0
8926,8,4,5,CO,IAH,TPA,787.0,7,57,0
8927,4,29,6,EV,HSV,MCO,535.0,10,10,1
8928,11,23,4,WN,PHX,ABQ,328.0,12,19,0
8929,2,20,1,UA,DEN,PHX,602.0,17,4,0
8930,6,18,6,OH,LGA,CAE,617.0,9,30,1
8931,9,11,1,XE,IAH,MAF,429.0,15,24,0
8932,6,28,3,XE,IAH,TUL,429.0,15,48,0
8933,7,20,4,WN,HOU,JAN,359.0,14,24,0
8934,3,27,1,DL,TPA,ATL,406.0,12,31,0
8935,8,25,5,NW,MDT,DTW,370.0,9,11,0
8936,10,15,7,MQ,SJC,SNA,342.0,15,19,1
8937,1,8,6,UA,BOS,ORD,867.0,8,18,1
8938,3,3,5,FL,ATL,BMI,533.0,21,0,0
8939,6,11,7,US,PHL,CMH,405.0,20,6,1
8940,10,15,6,FL,ATL,SAV,215.0,14,27,1
8941,9,11,7,NW,MSP,OMA,282.0,10,26,1
8942,5,3,3,MQ,SAN,LAX,109.0,14,56,0
8943,4,9,6,DL,ATL,VPS,264.0,9,48,1
8944,4,19,2,DL,CVG,ORF,485.0,19,6,0
8945,4,22,6,AA,MCI,DFW,460.0,15,40,1
8946,7,7,5,WN,BNA,BWI,588.0,12,36,0
8947,7,19,2,DL,CVG,MCO,756.0,19,14,0
8948,9,23,5,DL,ATL,SLC,1589.0,15,58,0
8949,10,6,4,UA,MHT,ORD,843.0,7,2,0
8950,5,26,5,OO,MTJ,DEN,197.0,10,57,0
8951,3,19,7,OO,FAR,ORD,557.0,13,28,1
8952,3,22,3,OO,SBA,SFO,262.0,13,6,0
8953,5,22,1,WN,CLE,MDW,307.0,14,25,0
8954,3,9,4,AA,IAH,MIA,964.0,14,26,0
8955,7,4,1,DL,GSP,ATL,153.0,7,16,0
8956,6,17,5,HP,LAX,LAS,236.0,10,44,0
8957,3,26,7,MQ,SAN,LAX,109.0,11,13,1
8958,11,10,4,DH,BOS,IAD,413.0,16,42,0
8959,5,19,4,HP,PDX,PHX,1009.0,8,18,0
8960,8,3,3,AS,OAK,SNA,371.0,13,30,0
8961,7,20,4,OH,DCA,CMH,322.0,21,45,0
8962,6,26,1,EV,ATL,MDW,590.0,19,15,0
8963,8,27,7,EV,AUS,ATL,813.0,10,35,1
8964,12,12,2,US,CLT,PHL,448.0,21,53,0
8965,7,18,1,B6,MCO,JFK,944.0,18,32,0
8966,6,18,7,YV,CLT,ORD,599.0,7,40,1
8967,8,4,5,US,ORD,PHX,1440.0,16,41,0
8968,3,12,6,AA,BUR,DFW,1231.0,12,28,1
8969,3,29,3,NW,DFW,DTW,987.0,17,47,0
8970,3,10,4,DL,TPA,CVG,773.0,15,42,0
8971,1,30,1,US,PHX,BOS,2300.0,15,52,0
8972,1,27,5,OH,MEM,CVG,403.0,9,5,0
8973,1,10,1,OO,SLC,SUN,223.0,17,0,0
8974,9,8,5,XE,CRP,IAH,201.0,11,53,0
8975,6,3,6,NW,MEM,MKE,556.0,18,35,1
8976,11,25,6,WN,MCI,MDW,405.0,7,19,1
8977,7,23,6,HP,CMH,PHX,1671.0,8,1,1
8978,4,12,2,NW,STL,MEM,256.0,7,22,0
8979,12,16,5,AA,DFW,BUR,1231.0,21,33,0
8980,2,7,2,US,LAS,PHX,256.0,12,54,0
8981,10,17,2,AA,DFW,DCA,1192.0,11,40,0
8982,2,15,3,OO,LAX,ONT,47.0,8,1,0
8983,8,20,6,HA,HNL,OGG,100.0,17,50,1
8984,11,12,6,CO,CLE,IAH,1091.0,14,46,1
8985,9,6,2,OH,ORD,CVG,264.0,19,48,0
8986,3,6,7,MQ,DFW,JAN,408.0,15,11,1
8987,6,14,3,WN,BWI,ISP,220.0,9,25,0
8988,6,29,4,NW,MSP,FNT,491.0,21,20,0
8989,7,26,2,WN,SJC,RNO,188.0,8,50,0
8990,1,30,7,MQ,ORD,ALB,723.0,14,14,1
8991,9,8,4,UA,ONT,SFO,363.0,19,4,0
8992,7,7,5,XE,GSO,IAH,986.0,6,47,0
8993,5,13,5,OO,IYK,LAX,123.0,20,21,0
8994,2,22,2,XE,EWR,MHT,209.0,12,48,0
8995,8,13,6,EV,ATL,SHV,552.0,20,52,1
8996,9,20,2,NW,EWR,DTW,487.0,17,21,0
8997,11,8,2,OO,LEX,ORD,323.0,10,26,0
8998,11,22,2,EV,LAS,SLC,368.0,19,10,0
8999,8,26,6,UA,LAX,LAS,236.0,13,49,1
9000,7,27,3,UA,DEN,PDX,992.0,8,39,0
9001,4,3,7,DH,CLT,IAD,321.0,8,51,1
9002,7,16,6,AA,DFW,DTW,987.0,13,4,1
9003,1,21,6,HA,HNL,LIH,102.0,12,27,1
9004,5,8,1,UA,SFO,LAX,337.0,17,16,0
9005,1,27,4,US,SAN,PHL,2369.0,13,43,0
9006,10,13,5,NW,GRB,MSP,252.0,8,49,0
9007,4,10,1,CO,RDU,IAH,1043.0,18,23,0
9008,1,19,4,XE,ORD,IAH,925.0,12,7,0
9009,2,22,3,F9,DEN,SAN,853.0,18,43,0
9010,7,1,5,FL,DFW,BWI,1217.0,8,0,0
9011,8,7,1,NW,MSP,RAP,490.0,17,39,0
9012,7,25,1,US,PVD,PHL,238.0,18,44,0
9013,9,6,2,US,DCA,TPA,814.0,13,46,0
9014,7,9,7,UA,ORD,IAD,589.0,6,12,1
9015,9,2,5,US,GSO,CLT,83.0,7,48,0
9016,8,5,5,HP,AUS,PHX,872.0,8,46,0
9017,7,2,6,NW,ORF,DTW,529.0,6,13,1
9018,2,24,4,DL,ATL,PWM,1027.0,14,32,0
9019,11,10,4,WN,DTW,MDW,229.0,17,20,0
9020,1,9,1,UA,ORD,LGA,733.0,16,57,0
9021,5,15,7,OO,AVP,ORD,631.0,7,30,1
9022,8,25,5,MQ,CLE,LGA,418.0,9,55,0
9023,12,11,1,CO,ATL,EWR,745.0,14,10,0
9024,5,11,4,XE,IAH,MEM,469.0,15,48,0
9025,4,28,5,XE,DAL,IAH,217.0,17,11,0
9026,11,10,5,DL,RSW,ATL,515.0,13,5,0
9027,12,3,7,FL,ATL,TPA,406.0,19,4,1
9028,12,31,7,AQ,HNL,OGG,100.0,8,31,1
9029,9,24,6,US,CLT,PBI,590.0,11,22,1
9030,6,10,6,NW,DTW,GRB,288.0,18,52,1
9031,12,12,1,OH,CVG,SDF,83.0,10,52,0
9032,11,28,1,WN,OAK,LAX,337.0,13,45,0
9033,2,9,3,OO,SEA,GEG,224.0,12,21,0
9034,10,3,2,FL,DCA,ATL,547.0,18,41,0
9035,12,13,2,HP,DEN,PHX,602.0,8,7,0
9036,7,20,4,MQ,AUS,DAL,189.0,16,45,0
9037,4,10,7,AA,TUL,ORD,585.0,10,41,1
9038,12,10,7,MQ,LAX,FAT,209.0,15,34,1
9039,6,23,5,CO,IAH,DEN,861.0,9,29,0
9040,4,2,7,XE,LIT,EWR,1069.0,7,11,1
9041,6,30,4,CO,IAH,EWR,1400.0,21,11,0
9042,11,18,5,OO,SLC,PDX,630.0,20,47,0
9043,5,8,7,FL,CLT,BWI,361.0,17,18,1
9044,8,30,3,YV,PSP,PHX,261.0,9,30,0
9045,4,15,6,AQ,LIH,HNL,102.0,13,8,1
9046,3,24,5,YV,BFL,PHX,425.0,18,20,0
9047,9,20,2,FL,IND,MCO,828.0,14,13,0
9048,4,5,3,CO,DTW,IAH,1076.0,14,53,0
9049,10,14,6,AA,DFW,IAH,224.0,8,56,1
9050,10,7,6,AS,SEA,SAN,1050.0,6,40,1
9051,8,17,4,OO,SLC,LWS,461.0,21,22,0
9052,3,29,2,DL,ATL,CVG,373.0,12,47,0
9053,1,12,3,EV,ATL,TYS,152.0,10,12,0
9054,7,8,5,EV,MCI,SLC,919.0,12,25,0
9055,4,24,7,WN,BWI,MHT,377.0,22,5,1
9056,6,3,5,MQ,JAN,DFW,408.0,6,3,0
9057,9,13,2,OH,MCI,CVG,539.0,18,37,0
9058,5,13,5,OO,SLC,GTF,463.0,20,20,0
9059,11,3,4,OH,CVG,SGF,491.0,21,43,0
9060,1,19,4,FL,IND,TPA,838.0,16,16,0
9061,6,19,1,OO,DEN,SGF,637.0,10,14,0
9062,8,30,2,DL,ATL,MCO,403.0,6,57,0
9063,6,5,7,DL,LAX,ATL,1946.0,15,37,1
9064,7,8,6,XE,EWR,BUF,282.0,20,57,1
9065,4,11,2,US,MCO,PIT,834.0,11,54,0
9066,10,8,7,MQ,ORD,XNA,522.0,8,41,1
9067,5,9,2,XE,CLE,RIC,362.0,18,59,0
9068,6,27,1,DH,IAD,CLE,288.0,22,10,0
9069,3,6,7,MQ,DFW,SPS,113.0,10,53,1
9070,4,17,1,DL,PBI,ATL,545.0,18,10,0
9071,1,2,1,F9,DCA,DEN,1476.0,18,9,0
9072,4,8,6,WN,LAS,SAT,1069.0,17,10,1
9073,1,6,4,NW,DTW,BNA,457.0,8,57,0
9074,5,15,7,NW,MSP,BIL,748.0,21,0,1
9075,10,26,4,WN,SAT,HOU,192.0,14,9,0
9076,3,1,3,FL,ATL,LGA,761.0,11,0,0
9077,12,30,5,EV,ABY,ATL,146.0,18,24,0
9078,6,22,3,WN,ABQ,DAL,580.0,17,5,0
9079,12,14,4,CO,MIA,IAH,964.0,19,20,0
9080,4,23,6,DL,CVG,LAX,1900.0,16,48,1
9081,7,15,5,EV,XNA,ATL,589.0,10,32,0
9082,1,5,3,AA,DEN,DFW,641.0,7,36,0
9083,2,23,3,XE,LBB,IAH,458.0,12,3,0
9084,11,14,2,DL,ATL,OMA,821.0,12,12,0
9085,11,9,4,US,SAV,CLT,213.0,14,10,0
9086,11,15,2,AA,ORD,MSP,334.0,8,40,0
9087,12,2,5,WN,IND,LAS,1591.0,15,45,0
9088,9,12,1,AA,ABQ,ORD,1118.0,12,2,0
9089,9,4,1,OO,SLC,BIL,387.0,17,16,0
9090,11,10,5,XE,EWR,DCA,199.0,10,52,0
9091,7,19,3,AS,PHX,SEA,1107.0,15,22,0
9092,12,19,2,MQ,DFW,LRD,394.0,21,24,0
9093,4,13,4,WN,OAK,PHX,646.0,12,30,0
9094,6,28,2,HP,PHX,DEN,602.0,18,12,0
9095,11,9,4,AQ,KOA,HNL,163.0,18,34,0
9096,3,12,6,AA,FLL,SJU,1046.0,21,59,1
9097,8,21,1,OH,RDU,CVG,390.0,15,45,0
9098,12,28,3,WN,SAN,LAS,258.0,8,50,0
9099,1,20,4,EV,BTR,DFW,383.0,10,3,0
9100,2,3,4,AS,SEA,ANC,1449.0,15,44,0
9101,11,20,7,MQ,DFW,LIT,304.0,21,11,1
9102,7,19,2,OO,LAX,OAK,337.0,18,10,0
9103,12,19,2,XE,ORF,EWR,284.0,22,12,0
9104,11,21,1,DL,ATL,CVG,373.0,0,17,0
9105,7,23,7,WN,ABQ,LAX,677.0,17,19,1
9106,8,7,7,WN,PHX,OAK,646.0,21,30,1
9107,2,11,6,XE,CLE,JFK,425.0,12,26,1
9108,11,27,1,CO,SAN,IAH,1303.0,17,25,0
9109,9,17,7,UA,DEN,LGA,1619.0,13,30,1
9110,3,20,1,XE,IND,CLE,261.0,13,24,0
9111,1,28,5,HP,PHX,SJC,621.0,20,30,0
9112,2,16,4,YV,ORD,CID,196.0,9,4,0
9113,6,28,3,AA,SJU,JFK,1597.0,14,1,0
9114,11,5,7,B6,LGB,FLL,2327.0,21,20,1
9115,1,10,1,WN,FLL,MDW,1166.0,8,20,0
9116,11,9,4,US,PHX,SJC,621.0,20,31,0
9117,7,2,7,US,RNO,LAS,345.0,14,26,1
9118,9,1,4,DL,ATL,BWI,576.0,18,21,0
9119,1,2,7,NW,BOS,DTW,632.0,5,58,1
9120,1,16,1,WN,MDW,MCI,405.0,13,25,0
9121,2,27,1,WN,SJC,PHX,621.0,6,58,0
9122,5,11,3,US,BWI,PIT,210.0,7,0,0
9123,6,15,4,MQ,ORD,OMA,416.0,14,31,0
9124,6,23,4,CO,LAX,IAH,1379.0,12,51,0
9125,5,2,2,CO,LAX,CLE,2053.0,12,10,0
9126,2,17,4,B6,JFK,RSW,1074.0,18,43,0
9127,8,8,2,AA,ORD,SAT,1041.0,18,14,0
9128,6,6,2,DL,LGA,FLL,1076.0,18,53,0
9129,12,8,4,WN,LAX,BNA,1797.0,8,45,0
9130,10,13,4,AA,ORD,PHL,678.0,18,2,0
9131,2,17,5,WN,OAK,ONT,361.0,7,20,0
9132,6,14,3,YV,IAD,PIT,183.0,9,5,0
9133,10,13,4,OO,DEN,COS,72.0,12,34,0
9134,10,7,5,CO,IAH,AUS,140.0,21,9,0
9135,6,12,7,UA,SEA,LAX,954.0,19,27,1
9136,2,24,4,AA,DFW,OAK,1456.0,9,57,0
9137,6,5,7,WN,TPA,MDW,997.0,18,27,1
9138,4,27,3,DL,BTR,ATL,449.0,17,15,0
9139,3,28,1,MQ,CVG,DFW,812.0,8,21,0
9140,7,24,1,MQ,DFW,PIT,1068.0,10,50,0
9141,10,18,3,MQ,AUS,DAL,189.0,17,28,0
9142,6,1,3,OO,EUG,PDX,106.0,17,50,0
9143,12,27,2,WN,LAX,MDW,1750.0,19,35,0
9144,2,5,6,DL,ATL,MIA,595.0,22,38,1
9145,10,31,1,OH,ALB,CVG,623.0,5,20,0
9146,2,28,1,OH,CVG,STL,307.0,0,7,0
9147,12,2,5,WN,SDF,STL,254.0,8,15,0
9148,7,7,4,FL,MSY,ATL,425.0,14,48,0
9149,1,15,6,WN,LAS,SAT,1069.0,11,35,1
9150,4,1,6,XE,IAH,OKC,395.0,8,58,1
9151,1,7,6,XE,PNS,IAH,489.0,6,25,1
9152,9,16,5,MQ,XNA,DFW,281.0,7,1,0
9153,4,23,7,WN,BUR,SMF,358.0,12,58,1
9154,8,5,5,US,CLT,JAX,329.0,11,11,0
9155,9,27,3,AA,BOS,DFW,1562.0,10,18,0
9156,12,9,5,OO,SLC,COD,298.0,11,0,0
9157,11,23,3,WN,SDF,BWI,495.0,10,15,0
9158,1,22,7,AA,ORD,DEN,888.0,13,5,1
9159,3,30,3,XE,SYR,EWR,194.0,13,0,0
9160,8,14,1,AS,RNO,SEA,564.0,20,59,0
9161,12,28,4,US,PHX,BOI,735.0,11,31,0
9162,1,20,5,MQ,PHL,ORD,678.0,13,26,0
9163,10,16,1,AA,DFW,IAH,224.0,14,41,0
9164,11,28,1,MQ,LGA,XNA,1147.0,6,8,0
9165,10,12,3,WN,MCO,ISP,972.0,20,10,0
9166,9,15,4,XE,TUS,IAH,936.0,13,19,0
9167,7,16,7,CO,LAS,IAH,1222.0,19,45,1
9168,4,15,5,AA,LAX,ORD,1745.0,8,32,0
9169,7,18,1,DL,SAV,ATL,215.0,21,11,0
9170,11,13,7,AA,RNO,DFW,1345.0,12,15,1
9171,3,10,4,XE,IAH,BNA,657.0,13,21,0
9172,3,23,3,WN,LAX,BWI,2329.0,12,23,0
9173,12,31,6,WN,RDU,LAS,2027.0,13,45,1
9174,11,5,7,OO,SFO,MRY,77.0,16,58,1
9175,7,19,2,US,PIT,TPA,873.0,7,25,0
9176,3,6,1,WN,BNA,SAN,1751.0,18,0,0
9177,2,11,5,OH,DSM,CVG,505.0,5,30,0
9178,1,29,6,MQ,DFW,SHV,190.0,15,10,1
9179,3,15,2,CO,HNL,LAX,2556.0,21,48,0
9180,3,24,4,DL,MSY,ATL,425.0,16,22,0
9181,3,31,4,AA,STL,DFW,551.0,5,56,0
9182,7,12,3,OO,SLC,SGU,269.0,13,5,0
9183,12,11,7,WN,SJC,SAN,417.0,19,35,1
9184,1,29,6,NW,MEM,IAH,469.0,13,43,1
9185,6,19,1,DL,CVG,BOS,752.0,8,2,0
9186,7,31,1,XE,CVG,EWR,569.0,14,13,0
9187,3,11,6,AA,SNA,DFW,1205.0,12,24,1
9188,3,17,5,DL,DCA,ATL,547.0,17,16,0
9189,10,24,2,MQ,SGF,DFW,364.0,13,2,0
9190,6,10,5,MQ,ORD,SGF,438.0,12,25,0
9191,3,11,6,OO,RNO,SLC,422.0,13,24,1
9192,7,25,1,MQ,BUF,ORD,473.0,15,40,0
9193,12,31,7,US,BOS,LGA,185.0,10,55,1
9194,3,23,3,XE,EWR,RIC,278.0,19,7,0
9195,10,8,6,DL,ATL,HOU,696.0,12,56,1
9196,3,31,4,CO,CLE,MCO,895.0,15,22,0
9197,4,28,4,AS,ANC,SEA,1449.0,14,1,0
9198,9,19,1,OO,COS,LAX,833.0,12,47,0
9199,3,30,4,NW,RSW,MSP,1416.0,13,15,0
9200,2,9,3,AA,DFW,LGB,1220.0,12,28,0
9201,5,16,1,TZ,SJU,MCO,1189.0,14,57,0
9202,10,9,7,WN,MCI,MCO,1072.0,16,10,1
9203,7,23,7,WN,PHX,IND,1489.0,17,2,1
9204,7,30,6,AA,MIA,DEN,1709.0,20,28,1
9205,2,28,1,FL,BWI,FLL,925.0,19,5,0
9206,2,26,7,F9,DEN,SAT,794.0,20,18,1
9207,3,28,2,NW,MSP,FLL,1487.0,19,24,0
9208,5,10,3,OH,CVG,TOL,181.0,16,36,0
9209,6,13,2,AQ,OGG,HNL,100.0,12,17,0
9210,3,22,3,FL,DCA,RSW,892.0,7,57,0
9211,10,20,5,WN,PHX,LAS,256.0,19,51,0
9212,6,10,6,MQ,ORD,RIC,642.0,15,45,1
9213,7,22,5,WN,RNO,SJC,188.0,13,40,0
9214,2,2,4,MQ,DFW,HOU,247.0,12,43,0
9215,10,24,1,WN,SMF,LAX,373.0,18,55,0
9216,7,30,6,WN,SJC,RNO,188.0,19,5,1
9217,10,16,7,US,PHL,ROC,257.0,22,48,1
9218,10,28,5,MQ,BOS,RDU,612.0,15,57,0
9219,2,15,3,YV,ORD,GRR,137.0,11,39,0
9220,10,23,1,CO,BOS,EWR,200.0,6,29,0
9221,12,2,5,NW,BWI,DTW,408.0,16,22,0
9222,11,28,2,NW,DTW,SEA,1927.0,12,21,0
9223,6,30,5,WN,AUS,LAX,1242.0,11,53,0
9224,5,29,1,XE,BDL,EWR,116.0,9,36,0
9225,5,8,7,CO,IAH,CMH,986.0,10,42,1
9226,4,16,6,HP,LAS,LAX,236.0,7,54,1
9227,11,14,2,B6,JFK,BOS,187.0,20,28,0
9228,4,13,4,YV,DSM,ORD,299.0,8,3,0
9229,2,23,3,WN,BUR,OAK,325.0,14,40,0
9230,10,28,6,OO,SFO,BUR,326.0,10,38,1
9231,10,23,7,WN,MCO,ISP,972.0,8,20,1
9232,4,16,6,OH,ATL,CVG,373.0,23,20,1
9233,3,2,4,DL,ORD,ATL,606.0,15,30,0
9234,9,23,6,AA,STL,DAL,546.0,11,51,1
9235,4,7,5,OO,SFO,RNO,192.0,8,58,0
9236,2,20,7,EV,RIC,ATL,481.0,9,57,1
9237,5,8,1,WN,TUS,LAX,451.0,7,10,0
9238,10,22,6,DL,CVG,JAX,614.0,9,0,1
9239,4,7,5,US,ATL,PHX,1587.0,11,4,0
9240,10,27,5,AQ,HNL,KOA,163.0,11,27,0
9241,5,6,6,US,PHX,SEA,1107.0,13,20,1
9242,1,30,1,XE,IAH,TUL,429.0,13,10,0
9243,2,23,3,NW,ALB,DTW,488.0,12,24,0
9244,7,10,1,XE,LIT,IAH,374.0,16,23,0
9245,11,3,5,US,PHL,MCO,861.0,8,15,0
9246,11,13,7,AS,SJC,PDX,569.0,9,19,1
9247,5,12,4,AS,SNA,PDX,859.0,16,12,0
9248,6,20,1,WN,DAL,SAT,248.0,10,5,0
9249,12,16,5,WN,PHX,RDU,1891.0,18,33,0
9250,10,15,7,OH,CVG,CID,419.0,13,38,1
9251,4,15,6,DL,STT,ATL,1599.0,16,26,1
9252,4,4,2,TZ,OGG,PHX,2845.0,20,30,0
9253,3,20,1,AA,MIA,LGA,1097.0,13,33,0
9254,8,15,1,XE,COS,IAH,809.0,14,23,0
9255,12,12,2,WN,PHX,ELP,347.0,13,50,0
9256,3,4,5,EV,SLC,AUS,1085.0,10,10,0
9257,9,16,5,FL,ATL,IND,432.0,17,5,0
9258,4,3,1,WN,SAN,SJC,417.0,12,40,0
9259,2,7,1,MQ,LGA,BNA,764.0,16,42,0
9260,9,23,5,WN,MDW,CLE,307.0,6,35,0
9261,9,10,7,US,RSW,CLT,600.0,8,21,1
9262,7,28,5,US,PHX,SJC,621.0,16,45,0
9263,8,6,7,XE,AEX,IAH,190.0,9,28,1
9264,9,26,2,XE,IAH,TUS,936.0,9,19,0
9265,4,2,6,FL,PHL,BOS,280.0,11,2,1
9266,12,19,2,YV,ORD,LAN,179.0,13,25,0
9267,5,24,2,WN,BHM,MDW,570.0,8,10,0
9268,1,5,4,WN,PHX,SNA,338.0,9,55,0
9269,6,19,1,WN,OMA,PHX,1037.0,7,38,0
9270,2,19,7,MQ,PNS,DFW,604.0,19,14,1
9271,8,20,7,AA,DFW,EWR,1372.0,19,40,1
9272,9,21,3,WN,ONT,LAS,197.0,18,20,0
9273,10,25,2,WN,SMF,LAX,373.0,19,5,0
9274,6,14,2,NW,DTW,ATL,594.0,21,22,0
9275,4,18,2,OO,ORD,SDF,286.0,10,46,0
9276,1,25,2,WN,SAT,LAS,1069.0,9,58,0
9277,1,31,2,F9,DEN,SEA,1024.0,8,30,0
9278,3,6,7,AA,MIA,TPA,204.0,7,40,1
9279,3,23,3,DL,LAS,ATL,1747.0,8,33,0
9280,6,2,5,AA,ELP,DFW,551.0,6,13,0
9281,4,3,7,WN,PHX,MDW,1444.0,18,10,1
9282,11,21,2,AA,LGA,MIA,1097.0,15,53,0
9283,10,14,6,WN,RNO,LAS,345.0,6,32,1
9284,3,4,5,US,MCO,PIT,834.0,17,34,0
9285,10,25,2,WN,SJC,LAX,308.0,16,24,0
9286,7,29,6,MQ,DFW,CMI,693.0,17,55,1
9287,7,10,7,OH,CVG,BOS,752.0,9,50,1
9288,8,16,2,CO,LGA,IAH,1416.0,6,42,0
9289,10,4,2,DH,IAD,CRW,227.0,15,23,0
9290,7,11,2,CO,IAH,BTR,253.0,19,34,0
